Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,6.640000,6.970000,6.590000,6.970000,6.970000,56882300
2020-07-02,7.110000,7.420000,6.780000,6.920000,6.920000,86721200
2020-07-03,6.930000,7.200000,6.800000,7.200000,7.200000,34928400
2020-07-06,8.050000,8.050000,7.430000,7.600000,7.600000,130989600
2020-07-07,7.530000,7.780000,7.320000,7.450000,7.450000,77476000
2020-07-08,7.590000,7.660000,7.420000,7.660000,7.660000,68258300
2020-07-09,7.700000,7.850000,7.580000,7.780000,7.780000,48327500
2020-07-10,7.900000,8.680000,7.850000,8.640000,8.640000,148316900
2020-07-13,8.950000,9.130000,8.640000,8.680000,8.680000,120269900
2020-07-14,8.620000,8.890000,8.570000,8.620000,8.620000,78418400
2020-07-15,8.850000,8.990000,8.690000,8.750000,8.750000,56948900
2020-07-16,8.700000,9.300000,8.650000,9.190000,9.190000,79720000
2020-07-17,9.360000,9.500000,9.190000,9.350000,9.350000,61572400
2020-07-20,9.420000,9.910000,9.380000,9.600000,9.600000,88481800
2020-07-21,9.930000,9.960000,9.220000,9.400000,9.400000,85466900
2020-07-22,9.400000,9.440000,9.080000,9.390000,9.390000,74794700
2020-07-23,9.700000,9.700000,8.670000,8.750000,8.750000,185503100
2020-07-24,8.400000,8.580000,8.110000,8.280000,8.280000,125091100
2020-07-27,8.440000,8.530000,8.030000,8.330000,8.330000,77492700
2020-07-28,8.410000,9.250000,8.270000,9.000000,9.000000,111773200
2020-07-29,9.210000,9.420000,8.820000,9.240000,9.240000,82455200
2020-07-30,9.300000,9.600000,9.200000,9.460000,9.460000,101716900
2020-07-31,9.800000,9.940000,8.130000,8.280000,8.280000,273692400
2020-08-03,8.100000,8.360000,7.500000,7.850000,7.850000,151285200
2020-08-04,7.640000,7.870000,7.270000,7.400000,7.400000,116284100
2020-08-05,7.610000,7.740000,7.220000,7.380000,7.380000,77105700
2020-08-06,7.400000,7.460000,7.170000,7.270000,7.270000,72228500
2020-08-07,7.220000,7.490000,7.150000,7.290000,7.290000,101518300
2020-08-10,7.300000,7.490000,7.110000,7.390000,7.390000,67158300
2020-08-11,7.520000,7.580000,7.320000,7.330000,7.330000,51479500
2020-08-12,7.360000,7.380000,7.020000,7.190000,7.190000,62345100
2020-08-13,7.220000,7.310000,6.890000,6.920000,6.920000,62533800
2020-08-14,6.910000,7.270000,6.820000,7.190000,7.190000,62907700
2020-08-17,7.200000,7.340000,6.770000,6.880000,6.880000,78104500
2020-08-18,7.080000,7.130000,6.910000,6.960000,6.960000,49393400
2020-08-19,6.770000,6.930000,6.440000,6.580000,6.580000,132220200
2020-08-20,6.380000,6.760000,6.360000,6.570000,6.570000,83320600
2020-08-21,6.190000,6.640000,6.100000,6.560000,6.560000,165235300
2020-08-24,6.640000,6.680000,6.360000,6.370000,6.370000,61083900
2020-08-25,6.440000,6.500000,6.180000,6.200000,6.200000,81302400
2020-08-26,6.230000,6.310000,5.960000,6.060000,6.060000,91241700
2020-08-27,6.100000,6.180000,5.960000,6.070000,6.070000,51758600
2020-08-28,6.120000,6.180000,5.980000,6.010000,6.010000,56132400
2020-08-31,5.970000,6.080000,5.700000,5.700000,5.700000,70141800
2020-09-01,5.780000,6.020000,5.740000,5.950000,5.950000,68815100
2020-09-02,6.040000,6.060000,5.820000,5.930000,5.930000,51161000
2020-09-03,5.930000,6.070000,5.710000,5.800000,5.800000,64899900
2020-09-04,5.860000,6.080000,5.730000,6.010000,6.010000,64297200
2020-09-08,5.950000,6.270000,5.860000,6.150000,6.150000,80244100
2020-09-09,6.210000,6.260000,5.880000,5.900000,5.900000,75574200
2020-09-10,5.900000,6.040000,5.860000,5.880000,5.880000,50769700
2020-09-11,5.930000,5.940000,5.650000,5.700000,5.700000,53721600
2020-09-14,5.820000,6.060000,5.700000,5.980000,5.980000,65130500
2020-09-15,6.050000,6.070000,5.750000,5.800000,5.800000,59775300
2020-09-16,5.840000,5.960000,5.800000,5.830000,5.830000,38870000
2020-09-17,5.750000,5.870000,5.650000,5.770000,5.770000,51672800
2020-09-18,5.770000,5.790000,5.500000,5.530000,5.530000,63076400
2020-09-21,5.340000,5.570000,5.280000,5.560000,5.560000,66313700
2020-09-22,5.550000,5.680000,5.450000,5.670000,5.670000,45682400
2020-09-23,5.650000,5.770000,5.490000,5.510000,5.510000,47593400
2020-09-24,5.500000,5.710000,5.440000,5.500000,5.500000,50290900
2020-09-25,5.460000,5.690000,5.420000,5.580000,5.580000,40429800
2020-09-28,5.640000,5.660000,5.230000,5.330000,5.330000,57667000
2020-09-29,5.330000,5.400000,5.180000,5.210000,5.210000,44256800
2020-09-30,5.240000,5.290000,5.180000,5.180000,5.180000,39619200
2020-10-01,5.200000,5.550000,5.160000,5.520000,5.520000,77044200
2020-10-02,5.460000,5.610000,5.360000,5.400000,5.400000,38112500
2020-10-05,5.360000,5.460000,5.170000,5.310000,5.310000,68627200
2020-10-06,5.320000,5.530000,5.200000,5.240000,5.240000,62622500
2020-10-07,5.250000,5.340000,5.180000,5.200000,5.200000,36539200
2020-10-08,5.220000,5.440000,5.170000,5.380000,5.380000,56940800
2020-10-09,5.350000,5.540000,5.220000,5.250000,5.250000,55471600
2020-10-13,5.280000,5.290000,5.190000,5.210000,5.210000,48015500
2020-10-14,5.220000,5.390000,5.200000,5.220000,5.220000,50622600
2020-10-15,5.180000,5.220000,5.010000,5.040000,5.040000,79697300
2020-10-16,5.040000,5.070000,4.810000,4.840000,4.840000,56601600
2020-10-19,4.840000,4.940000,4.770000,4.810000,4.810000,55606700
2020-10-20,4.850000,4.970000,4.800000,4.940000,4.940000,53306000
2020-10-21,4.920000,5.090000,4.780000,5.040000,5.040000,66133700
2020-10-22,5.020000,5.070000,4.900000,4.910000,4.910000,49622500
2020-10-23,4.900000,5.000000,4.860000,4.880000,4.880000,27820000
2020-10-26,4.840000,4.900000,4.700000,4.800000,4.800000,52245500
2020-10-27,4.810000,4.820000,4.610000,4.620000,4.620000,40081700
2020-10-28,4.470000,4.470000,4.250000,4.250000,4.250000,64442100
2020-10-29,4.230000,4.630000,4.030000,4.540000,4.540000,86661200
2020-10-30,4.490000,4.590000,4.270000,4.290000,4.290000,67084200
2020-11-03,4.380000,4.490000,4.160000,4.200000,4.200000,57809100
2020-11-04,4.320000,4.530000,4.210000,4.470000,4.470000,53840100
2020-11-05,4.550000,4.600000,4.330000,4.390000,4.390000,44784400
2020-11-06,4.320000,4.460000,4.250000,4.440000,4.440000,44490400
2020-11-09,4.750000,5.010000,4.550000,4.920000,4.920000,104988400
2020-11-10,4.930000,5.120000,4.770000,4.900000,4.900000,88782000
2020-11-11,4.880000,4.950000,4.690000,4.710000,4.710000,53099400
2020-11-12,4.660000,4.840000,4.510000,4.580000,4.580000,46119700
2020-11-13,4.560000,4.740000,4.530000,4.690000,4.690000,51439100
2020-11-16,4.850000,4.930000,4.690000,4.750000,4.750000,50436900
2020-11-17,4.730000,4.870000,4.710000,4.870000,4.870000,28735500
2020-11-18,4.880000,5.290000,4.870000,5.130000,5.130000,110347100
2020-11-19,5.150000,5.210000,4.960000,4.980000,4.980000,58488900
2020-11-23,5.190000,5.270000,5.000000,5.040000,5.040000,50199900
2020-11-24,5.080000,5.150000,5.000000,5.020000,5.020000,53395900
2020-11-25,5.020000,5.060000,4.880000,4.880000,4.880000,50850100
2020-11-26,4.860000,5.140000,4.810000,5.090000,5.090000,55670300
2020-11-27,5.140000,5.140000,4.910000,4.920000,4.920000,54091600
2020-11-30,4.900000,4.990000,4.690000,4.690000,4.690000,295233200
2020-12-01,4.830000,5.070000,4.750000,5.000000,5.000000,70090600
2020-12-02,5.100000,5.310000,5.050000,5.170000,5.170000,73652400
2020-12-03,5.190000,5.430000,5.070000,5.260000,5.260000,83352900
2020-12-04,5.350000,5.370000,5.160000,5.210000,5.210000,40059500
2020-12-07,5.220000,5.300000,5.010000,5.110000,5.110000,63619200
